Rank,Ticker,Company,Country,Bucket,Role,AlphaScore,RiskAdjScore,Hiddenness,Notes,CombinedScore
17,GLW,Corning,USA,Core,Fiber / cable / connectivity,8,9,5,AI data-center connectivity and glass/fiber infrastructure.,7.75
18,COHR,Coherent,USA,Core,Lasers / integrated photonics,9,8,4,Direct CPO exposure; public CPO demos and optical platform leverage.,7.65
19,LITE,Lumentum,USA,Core,Lasers / optics,9,8,4,Strong AI optical demand exposure; visible beneficiary.,7.65
20,4979.TW,LuxNet,Taiwan,Hidden,Optical modules,8,7,8,Module supplier exposure.,7.65
21,3450.TW,Elaser,Taiwan,Hidden,Laser / optical parts,8,7,8,Laser supply chain exposure.,7.65
22,MRVL,Marvell,USA,Core,Networking silicon / DSP,8,9,4,System-level optical/networking exposure.,7.55
23,AVGO,Broadcom,USA,Core,Networking silicon / custom silicon,8,9,4,AI infrastructure beneficiary.,7.55
24,AMPH,Amphenol,USA,Core,Connectors / interconnect,8,9,4,Interconnect demand from AI/data centers.,7.55
25,TEL,TE Connectivity,Switzerland,Core,Connectors / interconnect,8,9,4,Critical connectivity beneficiary.,7.55
26,IQE,IQE,UK,Core,Epiwafers,8,7,7,Critical compound semiconductor substrate/epi supplier.,7.45
27,FORM,FormFactor,USA,Hidden,Test / probe / validation,7,8,7,Useful if optical validation expands.,7.35
28,EXFO,EXFO,Canada,Hidden,Test / instrumentation,7,8,7,Validation and test leverage.,7.35
29,FOCI,FOCI,Taiwan,Hidden,Optical components,7,7,8,Taiwan optical supplier cluster.,7.2
30,6451.TW,ShunSin,Taiwan,Hidden,Optical components,7,7,8,Supplier to optical ecosystem.,7.2
31,4977.TW,PCL,Taiwan,Hidden,Optical components,7,7,8,Niche supplier exposure.,7.2
32,1FINITY,1Finity,Japan,Hidden,Optical modules,7,7,8,Japanese optical ecosystem supplier.,7.2
33,BROADX,Broadex,China,Hidden,Optical components,7,7,8,Module/component supplier.,7.2
34,HSBB,Hisense Broadband,China,Hidden,Optical modules,7,7,8,Large Asia optical assembler.,7.2
35,AGC,AGC,Japan,Hidden,Glass / materials,7,7,8,Glass substrate optionality.,7.2
36,ASGLY,Asahi Glass ADR,Japan,Hidden,Glass / materials,7,7,8,Glass substrate optionality.,7.2
37,VIAV,Viavi,USA,Hidden,Network test / instrumentation,7,8,6,Validation layer across optics and networking.,7.15
38,ONTO,Onto Innovation,USA,Hidden,Inspection / metrology,7,8,6,Packaging/metrology benefit.,7.15
39,CAMT,Camtek,Israel,Hidden,Inspection / metrology,7,8,6,Advanced packaging inspection.,7.15
40,LWLG,Lightwave Logic,USA,Alpha,Electro-optic polymers,9,3,10,High-risk asymmetric IP bet.,7.1
41,AXTI,AXT,USA,Hidden,Compound substrates,8,6,7,Upstream materials leverage if volume ramps.,7.1
42,SIVE,Sivers Semiconductors,Sweden,Alpha,Laser / photonics components,8,6,7,High beta photonics / national-security angle.,7.1
43,KLAC,KLA,USA,Core,Inspection / metrology,7,9,4,Process control beneficiary.,7.1
44,KEYS,Keysight,USA,Core,Test / validation,7,9,4,Optical and network testing visibility.,7.1
45,KLA,KLA,USA,Core,Inspection / metrology,7,9,4,Alternative listing for KLA with direct relevance.,7.1
46,ADI,Analog Devices,USA,Core,Mixed-signal / connectivity,7,9,4,Network and control electronics.,7.1
47,3289.TW,IST,Taiwan,Hidden,Optical / industrial tech,7,7,7,Adjacent supplier exposure.,7.0
48,MTSI,MACOM,USA,Core,Mixed-signal / photonics enablement,7,8,5,Enabler across optical networking.,6.95
49,FN,Fabrinet,Thailand,Core,Optical assembly / manufacturing,7,8,5,Critical contract manufacturing in optics.,6.95
50,AMKR,Amkor,USA,Core,Advanced packaging / OSAT,7,8,5,Packaging leverage if CPO ramps.,6.95
51,CLS,Celestica,Canada,Core,Electronics manufacturing,7,8,5,AI networking and optics exposure.,6.95
52,CIEN,Ciena,USA,Core,Optical networking systems,7,8,4,Scale-out optical demand beneficiary.,6.75
53,MKS,MKS Instruments,USA,Hidden,Semicap equipment,6,8,6,Tooling and subsystems.,6.7
54,AMAT,Applied Materials,USA,Core,Semi equipment,6,9,4,"Broad capex beneficiary, not CPO pure-play.",6.65
55,LRCX,Lam Research,USA,Core,Semi equipment,6,9,4,Broad process equipment leverage.,6.65
56,POET,POET Technologies,Canada,Alpha,Optical engine / integration,8,4,8,Speculative but asymmetric CPO optionality.,6.6
57,NVDA,NVIDIA,USA,Core,AI demand anchor,6,10,2,Demand catalyst rather than pure CPO supplier.,6.6
58,AAOI,Applied Optoelectronics,USA,Alpha,Optical modules / transceivers,8,5,6,"Higher beta, direct module exposure.",6.55
59,AEHR,Aehr,USA,Alpha,Burn-in / test,7,5,8,"AI burn-in demand can surge, but execution matters.",6.5
60,FLEX,Flex,USA,Core,Contract manufacturing,6,8,5,Manufacturing scale benefit.,6.5
61,JBL,Jabil,USA,Core,Contract manufacturing,6,8,5,Optical/AI assembly leverage.,6.5
62,SANM,Sanmina,USA,Core,Electronics manufacturing,6,8,5,Production scaling partner.,6.5
63,PLXS,Plexus,USA,Core,Electronics manufacturing,6,8,5,Industrial/optical systems build.,6.5
64,DUPUY,DuPont,USA,Hidden,Materials / polymers,6,8,5,Materials leverage to advanced packaging.,6.5
65,ROG,Rogers,USA,Hidden,High-frequency materials,6,8,5,Advanced electronics substrate materials.,6.5
66,ACLS,Axcelis,USA,Hidden,Process equipment adjacent,6,7,6,Indirect benefit if semiconductor capex broadens.,6.35
67,ADVA,Adtran,Germany,Hidden,Networking systems,6,7,6,Optical network systems exposure.,6.35
68,GUC,Global Unichip,Taiwan,Hidden,ASIC design,6,7,6,AI chip design services.,6.35
69,ALCHIP,Alchip,Taiwan,Hidden,ASIC design,6,7,6,Custom silicon into AI stacks.,6.35
70,TER,Teradyne,USA,Core,Test automation,6,8,4,Test intensity rises with optical complexity.,6.3
71,CSCO,Cisco,USA,Core,Networking systems,6,8,4,Network infrastructure lever.,6.3
72,SKHYNIX,SK Hynix,Korea,Core,Memory / AI systems,6,8,4,AI buildout beneficiary.,6.3
73,MU,Micron,USA,Core,Memory / AI systems,6,8,4,Memory demand collateral beneficiary.,6.3
74,IPGP,IPG Photonics,USA,Hidden,Lasers / materials processing,6,7,5,Laser capability with less CPO purity.,6.15
75,MURATA,Murata,Japan,Hidden,Passive components,5,7,6,Interconnect ecosystem adjacency.,5.9
76,YAGEO,Yageo,Taiwan,Hidden,Passives,5,7,6,Passives for high-speed modules.,5.9
77,MXL,MaxLinear,USA,Alpha,Connectivity silicon,6,6,5,Adjacency to networking and optical interconnect.,5.8
78,OI,O-I Glass,USA,Hidden,Glass manufacturing,5,6,7,Optionality only; glass thesis is less direct.,5.75
79,UMC,UMC,Taiwan,Alpha,Foundry,5,7,5,"Less direct, but foundry ecosystem.",5.7
80,CRNT,Ceragon,Israel,Hidden,Wireless backhaul / optical adjacent,5,6,6,Lower directness but networking leverage.,5.55
81,NOK,Nokia,Finland,Hidden,Optical/network systems,5,6,6,Optical network exposure.,5.55
82,NXPI,NXP,Netherlands,Alpha,Mixed-signal / industrial,5,7,3,Adjacency only.,5.3
83,QCOM,Qualcomm,USA,Alpha,Connectivity silicon,5,7,3,System adjacency more than pure CPO.,5.3
84,MCHP,Microchip,USA,Alpha,Embedded / connectivity,5,6,4,Lower directness but industrial interconnect.,5.15
85,ATKR,Atkore,USA,Hidden,Cable / conduit,4,6,5,Power/cabling infrastructure adjacent.,4.9
86,MELI,MercadoLibre,LatAm,Noise,,1,1,1,Not relevant; included only if needed later.,1.0
